seed,sft_acc,dpo_acc,grpo_acc,dpo_delta,grpo_delta
42,0.098,0.301,0.303,0.203,0.205
43,0.158,0.314,0.285,0.156,0.127
44,0.105,0.299,0.289,0.193,0.184
45,0.123,0.236,0.234,0.113,0.111
46,0.020,0.322,0.316,0.303,0.297
mean,0.1008,0.2944,0.2854,0.1936,0.1846
std,0.0462,0.0338,0.0304,0.0801,0.0772
