seed,sft_acc,dpo_acc,grpo_acc,dpo_delta,grpo_delta
42,0.098,0.365,0.338,0.267,0.240
43,0.158,0.303,0.289,0.145,0.131
44,0.105,0.365,0.330,0.260,0.225
45,0.123,0.246,0.258,0.123,0.135
46,0.020,0.324,0.318,0.305,0.299
mean,0.1008,0.3206,0.3066,0.2200,0.2058
std,0.0462,0.0445,0.0304,0.0783,0.0716
