seed,sft_acc,dpo_acc,grpo_acc,dpo_delta,grpo_delta
42,0.098,0.342,0.355,0.244,0.258
43,0.158,0.295,0.307,0.137,0.148
44,0.105,0.328,0.332,0.223,0.227
45,0.123,0.246,0.258,0.123,0.135
46,0.020,0.320,0.338,0.301,0.318
mean,0.1008,0.3062,0.3180,0.2056,0.2172
std,0.0462,0.0383,0.0377,0.0743,0.0757
