seed,sft_acc,dpo_acc,grpo_acc,dpo_delta,grpo_delta
42,0.098,0.250,0.252,0.152,0.154
43,0.158,0.281,0.295,0.123,0.137
44,0.105,0.250,0.262,0.145,0.156
45,0.123,0.232,0.217,0.109,0.094
46,0.020,0.326,0.309,0.307,0.289
mean,0.1008,0.2678,0.2670,0.1672,0.1662
std,0.0462,0.0331,0.0326,0.0778,0.0763
